CardioMood Report

Date: 			3/15/19
Measurement time:	11:02 AM - 11:07 AM
Intervals count:	373 with 4 artifacts present (1%)
Tag: Measurement Mar 15, 2019 11:02 AM


Results:  

Time series parameters:
HR    =	75
mRR   = 804
SDNN  = 53.050877
RMSSD = 35.034468
pNN50 = 9.139785


Frequency analysis:
TP  =	2716.223788				ln TP  = 7.906998 
VLF =	934.782445	VLF% =	34.414780	ln VLF = 6.840314
LF  =	1385.469624	LF%  =	51.007197	ln LF  = 7.233794
HF  =	395.971719	HF%  =	14.578023	ln HF  = 5.981343

Spectral indicies:
LF/HF   =			3.498911
LF norm = LF/(LF+HF)*100% =	77.772396
HF norm = HF/(LF+HF)*100% =	22.227604
VLF/HF  =			2.360730			 
IC      = (VLF+LF)/HF =		5.859641

Histogram (50ms step):
Mo   =	800.000000
AMo% =	33.512064
SI   =	104.725201

Variation range (Var) =	200.000000
WN5   =	78.125000
WN1   =	234.375000
WN4   =	125.000000
WAM5  =	N/A
WAM10 = N/A

HRVTi =	14.346154 (step 1/128 s)

Poincare Plot params:
SD1   =	9.139800
SD2   =	70.817497
SD1/SD2 =	0.129100
S   =	N/A


The numbers above were calculated using following data:
   n  timestamp       rr   bpm
   1               0   713  84
   2             713   712  84
   3            1426   722  83
   4            2149   728  82
   5            3045   737  81
   6            3782   747  80
   7            4530   755  79
   8            5286   720  83
   9            6006   708  85
  10            6715   704  85
  11            7420   727  83
  12            8148   740  81
  13            8888   712  84
  14            9601   688  87
  15           10290   684  88
  16           11021   713  84
  17           12019   975  62
  18           13021   904  66
  19           13925   900  67
  20           14826   871  69
  21           15698   801  75
  22           16500   777  77
  23           17277   734  82
  24           18012   718  84
  25           18731   737  81
  26           19468   717  84
  27           20186   699  86
  28           20886   693  87
  29           21580   716  84
  30           22297   963  62
  31           23261  1035  58
  32           24297   946  63
  33           25244   851  71
  34           26095   808  74
  35           26904   792  76
  36           27697   819  73
  37           28517   858  70
  38           29376   889  67
  39           30266   841  71
  40           31169   857  70
  41           32026   867  69
  42           32894   938  64
  43           33833   819  73
  44           34653   768  78
  45           35421   723  83
  46           36145   721  83
  47           36867   703  85
  48           37570   701  86
  49           38272   687  87
  50           38960   701  86
  51           39662   730  82
  52           40392   739  81
  53           41132   740  81
  54           41873   758  79
  55           42632   735  82
  56           43367   736  82
  57           44104   749  80
  58           44854   749  80
  59           45604   732  82
  60           46336   726  83
  61           47063   738  81
  62           47802   743  81
  63           48546   771  78
  64           49318   791  76
  65           50109   809  74
  66           50919   844  71
  67           51764   882  68
  68           52647   895  67
  69           53543   828  72
  70           54372   818  73
  71           55190   813  74
  72           56004   815  74
  73           56820   806  74
  74           57627   791  76
  75           58419   779  77
  76           59198   778  77
  77           59977   783  77
  78           60761   807  74
  79           61569   834  72
  80           62403   786  76
  81           63190   741  81
  82           63932   748  80
  83           64681   759  79
  84           65441   795  75
  85           66236   785  76
  86           67022   803  75
  87           67826   792  76
  88           68619   802  75
  89           69422   760  79
  90           70182   772  78
  91           70955   802  75
  92           71758   822  73
  93           72581   825  73
  94           73407   816  74
  95           74223   812  74
  96           75036   799  75
  97           75836   763  79
  98           76600   768  78
  99           77369   786  76
 100           78155   820  73
 101           78976   830  72
 102           79807   822  73
 103           80630   830  72
 104           81461   841  71
 105           82302   786  76
 106           83089   780  77
 107           83870   782  77
 108           84653   775  77
 109           85428   750  80
 110           86179   757  79
 111           86937   761  79
 112           87699   734  82
 113           88433   726  83
 114           89160   747  80
 115           89908   769  78
 116           90678   823  73
 117           91502   929  65
 118           92432   899  67
 119           93332   833  72
 120           94165   813  74
 121           94979   772  78
 122           95752   774  78
 123           96527   800  75
 124           97328   891  67
 125           98220   929  65
 126           99150   867  69
 127          100017   878  68
 128          100896   861  70
 129          101758   818  73
 130          102577   829  72
 131          103484   804  75
 132          104288   821  73
 133          105110   825  73
 134          106479   854  70
 135          107334   862  70
 136          108197   883  68
 137          109081   875  69
 138          109956   832  72
 139          110789   777  77
 140          111567   766  78
 141          112334   748  80
 142          113083   767  78
 143          113850   831  72
 144          114682   811  74
 145          115494   803  75
 146          116298   856  70
 147          117155   884  68
 148          118040   856  70
 149          118897   886  68
 150          119783   873  69
 151          120657   845  71
 152          121503   785  76
 153          122289   758  79
 154          123047   737  81
 155          123785   749  80
 156          124535   757  79
 157          125293   793  76
 158          126087   811  74
 159          126899   890  67
 160          127790   857  70
 161          128647   872  69
 162          129520   904  66
 163          130425   866  69
 164          131292   829  72
 165          132122   795  75
 166          132917   771  78
 167          133689   771  78
 168          134461   765  78
 169          135227   742  81
 170          135969   751  80
 171          136721   780  77
 172          137502   786  76
 173          138289   771  78
 174          139060   763  79
 175          139824   766  78
 176          140591   765  78
 177          141357   785  76
 178          142143   798  75
 179          142941   766  78
 180          143708   765  78
 181          144474   771  78
 182          145246   771  78
 183          146018   780  77
 184          146798   813  74
 185          147612   822  73
 186          148435   820  73
 187          149256   835  72
 188          150092   845  71
 189          150937   818  73
 190          151756   802  75
 191          152559   807  74
 192          153367   821  73
 193          154189   817  73
 194          155007   834  72
 195          155842   875  69
 196          156717   868  69
 197          157586   877  68
 198          158464   830  72
 199          159295   804  75
 200          160100   800  75
 201          160900   799  75
 202          161700   775  77
 203          162476   813  74
 204          163290   832  72
 205          164123   846  71
 206          164970   808  74
 207          165778   854  70
 208          166633   849  71
 209          167483   836  72
 210          168320   823  73
 211          169144   828  72
 212          169972   779  77
 213          170752   752  80
 214          171505   747  80
 215          172253   740  81
 216          172993   746  80
 217          173740   754  80
 218          174495   760  79
 219          175256   734  82
 220          175990   720  83
 221          176711   754  80
 222          177466   758  79
 223          178225   737  81
 224          178962   753  80
 225          179716   794  76
 226          180511   851  71
 227          181363   865  69
 228          182229   807  74
 229          183036   780  77
 230          183817   777  77
 231          184595   795  75
 232          185391   781  77
 233          186173   747  80
 234          186920   764  79
 235          187685   798  75
 236          188484   867  69
 237          189352   856  70
 238          190209   837  72
 239          191047   858  70
 240          191905   834  72
 241          192740   800  75
 242          193541   792  76
 243          194334   807  74
 244          195142   819  73
 245          195961   796  75
 246          196758   826  73
 247          197585   821  73
 248          198407   838  72
 249          199246   813  74
 250          200060   833  72
 251          200893   847  71
 252          201741   838  72
 253          202580   781  77
 254          203362   792  76
 255          204155   792  76
 256          204947   793  76
 257          205741   763  79
 258          206505   778  77
 259          207284   790  76
 260          208074   804  75
 261          208879   789  76
 262          209669   773  78
 263          210443   760  79
 264          211204   777  77
 265          211981   795  75
 266          212777   819  73
 267          213597   808  74
 268          214406   778  77
 269          215185   776  77
 270          215961   800  75
 271          216762   785  76
 272          217548   778  77
 273          218327   771  78
 274          219098   779  77
 275          219878   790  76
 276          220669   795  75
 277          221465   754  80
 278          222220   763  79
 279          222983   769  78
 280          223753   759  79
 281          224513   782  77
 282          225296   778  77
 283          226074   776  77
 284          226851   782  77
 285          227634   814  74
 286          228449   804  75
 287          229254   792  76
 288          230046   754  80
 289          230801   740  81
 290          231542   774  78
 291          232317   825  73
 292          233143   891  67
 293          234035   924  65
 294          234960   943  64
 295          235903   861  70
 296          236765   827  73
 297          237593   787  76
 298          238381   799  75
 299          239181   800  75
 300          239981   792  76
 301          240774   811  74
 302          241586   837  72
 303          242424   905  66
 304          243330   894  67
 305          244225   853  70
 306          245079   827  73
 307          245906   799  75
 308          246706   820  73
 309          247527   792  76
 310          248320   792  76
 311          249113   788  76
 312          249901   799  75
 313          250701   825  73
 314          251527   818  73
 315          252346   840  71
 316          253187   829  72
 317          254016   811  74
 318          254828   828  72
 319          255657   821  73
 320          256479   813  74
 321          257293   831  72
 322          258125   836  72
 323          258961   801  75
 324          259763   804  75
 325          260568   806  74
 326          261375   828  72
 327          262204   810  74
 328          263014   827  73
 329          263842   833  72
 330          264676   855  70
 331          265532   867  69
 332          266400   880  68
 333          267281   854  70
 334          268136   829  72
 335          268965   817  73
 336          269783   805  75
 337          270589   872  69
 338          271462   968  62
 339          272431   904  66
 340          273336   870  69
 341          274207   825  73
 342          275032   821  73
 343          275854   809  74
 344          276664   773  78
 345          277438   775  77
 346          278214   790  76
 347          279004   837  72
 348          279842   801  75
 349          280644   828  72
 350          281473   865  69
 351          282339   838  72
 352          283177   770  78
 353          283948   763  79
 354          284712   784  77
 355          285497   817  73
 356          286315   854  70
 357          287170   874  69
 358          288045   880  68
 359          288925   884  68
 360          289810   854  70
 361          290665   827  73
 362          291493   840  71
 363          292334   865  69
 364          293200   874  69
 365          294075   848  71
 366          294923   854  70
 367          295778   806  74
 368          296585   794  76
 369          297380   798  75
 370          298179   831  72
 371          299010   859  70
 372          299870   834  72
 373          300705   805  75

