CardioMood Report

Date: 			3/28/19
Measurement time:	5:36 PM - 5:46 PM
Intervals count:	695 with 2 artifacts present (0%)
Tag: Measurement Mar 28, 2019 5:36 PM


Results:  

Time series parameters:
HR    =	69
mRR   = 863
SDNN  = 56.547944
RMSSD = 32.171617
pNN50 = 12.968300


Frequency analysis:
TP  =	3076.074055				ln TP  = 8.031409 
VLF =	1562.050518	VLF% =	50.780654	ln VLF = 7.353755
LF  =	1173.560740	LF%  =	38.151251	ln LF  = 7.067798
HF  =	340.462797	HF%  =	11.068095	ln HF  = 5.830306

Spectral indicies:
LF/HF   =			3.446957
LF norm = LF/(LF+HF)*100% =	77.512714
HF norm = HF/(LF+HF)*100% =	22.487286
VLF/HF  =			4.588021			 
IC      = (VLF+LF)/HF =		8.034979

Histogram (50ms step):
Mo   =	850.000000
AMo% =	33.956835
SI   =	79.898434

Variation range (Var) =	250.000000
WN5   =	85.937500
WN1   =	265.625000
WN4   =	101.562500
WAM5  =	N/A
WAM10 = N/A

HRVTi =	15.795455 (step 1/128 s)

Poincare Plot params:
SD1   =	12.968300
SD2   =	76.667000
SD1/SD2 =	0.169200
S   =	N/A


The numbers above were calculated using following data:
   n  timestamp       rr   bpm
   1               0   933  64
   2            1004   986  61
   3            1998   988  61
   4            2997   956  63
   5            3995   965  62
   6            4960   923  65
   7            5884   906  66
   8            6791   848  71
   9            7640   881  68
  10            8522   901  67
  11            9424   891  67
  12           10316   872  69
  13           11188   832  72
  14           12021   810  74
  15           12832   807  74
  16           13640   804  75
  17           14445   809  74
  18           15254   758  79
  19           16013   725  83
  20           16739   729  82
  21           17469   728  82
  22           18198   782  77
  23           18981   878  68
  24           19955   925  65
  25           20880   953  63
  26           21834   935  64
  27           22770   923  65
  28           23694   925  65
  29           24620   898  67
  30           25519   889  67
  31           26409   854  70
  32           27263   830  72
  33           28094   828  72
  34           28923   820  73
  35           29744   822  73
  36           30567   839  72
  37           31407   846  71
  38           32254   835  72
  39           33089   844  71
  40           33934   819  73
  41           34754   815  74
  42           35570   835  72
  43           36406   804  75
  44           37210   833  72
  45           38044   828  72
  46           38873   768  78
  47           39642   773  78
  48           40416   780  77
  49           41196   789  76
  50           41986   794  76
  51           42781   770  78
  52           43551   741  81
  53           44293   722  83
  54           45016   713  84
  55           45730   705  85
  56           46435   693  87
  57           47129   703  85
  58           47833   690  87
  59           48523   694  86
  60           49218   704  85
  61           49923   716  84
  62           50640   732  82
  63           51372   730  82
  64           52103   737  81
  65           52841   744  81
  66           53586   752  80
  67           54338   731  82
  68           55070   740  81
  69           55811   729  82
  70           56541   756  79
  71           57297   778  77
  72           58076   808  74
  73           58885   825  73
  74           59711   855  70
  75           60567   814  74
  76           61381   808  74
  77           62190   780  77
  78           62971   780  77
  79           63752   777  77
  80           64530   764  79
  81           65295   820  73
  82           66116   900  67
  83           67016   908  66
  84           67925   886  68
  85           68812   878  68
  86           69691   819  73
  87           70511   817  73
  88           71329   839  72
  89           72168   864  69
  90           73033   865  69
  91           73899   871  69
  92           74771   848  71
  93           75620   848  71
  94           76469   893  67
  95           77363   898  67
  96           78262   862  70
  97           79124   885  68
  98           80010   910  66
  99           80921   887  68
 100           81809   862  70
 101           82672   865  69
 102           83538   874  69
 103           84413   846  71
 104           85260   834  72
 105           86094   870  69
 106           86965   878  68
 107           87844   866  69
 108           88711   851  71
 109           89563   864  69
 110           90428   841  71
 111           91269   805  75
 112           92075   813  74
 113           92889   812  74
 114           93702   811  74
 115           94514   876  68
 116           95391   938  64
 117           96330   922  65
 118           97253   938  64
 119           98192   946  63
 120           99139   905  66
 121          100044   937  64
 122          100982   908  66
 123          101891   847  71
 124          102739   853  70
 125          103593   849  71
 126          104443   848  71
 127          105292   836  72
 128          106128   861  70
 129          106990   882  68
 130          107873   851  71
 131          108725   870  69
 132          109596   889  67
 133          110486   846  71
 134          111333   897  67
 135          112230   842  71
 136          113073   833  72
 137          113907   807  74
 138          114715   808  74
 139          115524   815  74
 140          116339   797  75
 141          117137   794  76
 142          117932   852  70
 143          118785   887  68
 144          119673   845  71
 145          120519   828  72
 146          121347   809  74
 147          122157   794  76
 148          122952   787  76
 149          123740   815  74
 150          124556   837  72
 151          125394   838  72
 152          126232   844  71
 153          127077   845  71
 154          127923   841  71
 155          128765   823  73
 156          129589   813  74
 157          130403   845  71
 158          131249   818  73
 159          132067   866  69
 160          132934   925  65
 161          133860   894  67
 162          134755   884  68
 163          135640   905  66
 164          136546   884  68
 165          137431   845  71
 166          138276   869  69
 167          139146   870  69
 168          140017   802  75
 169          140820   782  77
 170          141603   811  74
 171          142415   872  69
 172          143639   945  63
 173          144584   886  68
 174          145471   815  74
 175          146287   840  71
 176          147128   879  68
 177          148008   947  63
 178          148956   916  66
 179          149873   871  69
 180          150744   826  73
 181          151571   787  76
 182          152359   823  73
 183          153183   859  70
 184          154043   938  64
 185          154982   945  63
 186          155928   927  65
 187          156856   866  69
 188          157723   896  67
 189          158620   902  67
 190          159523   921  65
 191          160444   885  68
 192          161330   926  65
 193          162257   955  63
 194          163213   982  61
 195          164196   974  62
 196          165171  1002  60
 197          166174   992  60
 198          167167   966  62
 199          168134   981  61
 200          169116   980  61
 201          170097   931  64
 202          171029   942  64
 203          171972   937  64
 204          172910   918  65
 205          173829   866  69
 206          174696   887  68
 207          175583   897  67
 208          176481   876  68
 209          177358   894  67
 210          178253   915  66
 211          179169   869  69
 212          180039   894  67
 213          180934   874  69
 214          181809   853  70
 215          182662   861  70
 216          183524   847  71
 217          184372   850  71
 218          185223   832  72
 219          186056   837  72
 220          186894   838  72
 221          187733   841  71
 222          188574   834  72
 223          189409   877  68
 224          190287   918  65
 225          191206   875  69
 226          192082   899  67
 227          192982   907  66
 228          193890   865  69
 229          194756   863  70
 230          195619   855  70
 231          196475   836  72
 232          197312   930  65
 233          198243   940  64
 234          199184   871  69
 235          200056   823  73
 236          200880   887  68
 237          201768   920  65
 238          202689   938  64
 239          203627   886  68
 240          204514   857  70
 241          205372   884  68
 242          206257   887  68
 243          207145   854  70
 244          208000   888  68
 245          208889   909  66
 246          209799   881  68
 247          210681   899  67
 248          211581   933  64
 249          212515   968  62
 250          213483   922  65
 251          214406   898  67
 252          215305   936  64
 253          216242   949  63
 254          217192   948  63
 255          218141   976  61
 256          219118   925  65
 257          220044   887  68
 258          220932   809  74
 259          221741   823  73
 260          222565   847  71
 261          223413   892  67
 262          224306   877  68
 263          225184   904  66
 264          226089   925  65
 265          227015   985  61
 266          228001   914  66
 267          228916   894  67
 268          229811   904  66
 269          230715   829  72
 270          231545   819  73
 271          232365   780  77
 272          233146   759  79
 273          233905   764  79
 274          234670   789  76
 275          235460   787  76
 276          236248   810  74
 277          237059   797  75
 278          237856   822  73
 279          238679   821  73
 280          239501   799  75
 281          240301   796  75
 282          241098   821  73
 283          241920   816  74
 284          242736   813  74
 285          243550   815  74
 286          244366   836  72
 287          245203   853  70
 288          246057   850  71
 289          246908   827  73
 290          247735   842  71
 291          248578   847  71
 292          249426   810  74
 293          250237   845  71
 294          251083   830  72
 295          251914   808  74
 296          252722   834  72
 297          253557   842  71
 298          254400   839  72
 299          255240   853  70
 300          256094   844  71
 301          256939   814  74
 302          257753   820  73
 303          258574   798  75
 304          259373   767  78
 305          260141   764  79
 306          260906   784  77
 307          261690   810  74
 308          262501   867  69
 309          263369   872  69
 310          264242   870  69
 311          265113   845  71
 312          265959   838  72
 313          266797   805  75
 314          267603   771  78
 315          268375   789  76
 316          269165   799  75
 317          269965   851  71
 318          270817   900  67
 319          271717   855  70
 320          272573   863  70
 321          273437   892  67
 322          274330   917  65
 323          275248   903  66
 324          276152   956  63
 325          277109   939  64
 326          278049   919  65
 327          278969   865  69
 328          279835   876  68
 329          280712   879  68
 330          281591   883  68
 331          282475   915  66
 332          283391   921  65
 333          284313   917  65
 334          285231   898  67
 335          286130   917  65
 336          287048   883  68
 337          287932   871  69
 338          288804   938  64
 339          289743   966  62
 340          290710   905  66
 341          291615   919  65
 342          292535   920  65
 343          293456   865  69
 344          294322   898  67
 345          295221   926  65
 346          296148   855  70
 347          297004   835  72
 348          297840   847  71
 349          298687   916  66
 350          299604   905  66
 351          300510   843  71
 352          301354   801  75
 353          302156   788  76
 354          302944   806  74
 355          303751   811  74
 356          304563   813  74
 357          305377   785  76
 358          306163   769  78
 359          306933   821  73
 360          307754   814  74
 361          308569   839  72
 362          309409   813  74
 363          310223   796  75
 364          311020   823  73
 365          311843   830  72
 366          312674   854  70
 367          313529   840  71
 368          314370   819  73
 369          315190   860  70
 370          316051   875  69
 371          316927   899  67
 372          317827   908  66
 373          318736   892  67
 374          319628   895  67
 375          320524   872  69
 376          321397   865  69
 377          322263   850  71
 378          323114   848  71
 379          323962   831  72
 380          324794   786  76
 381          325581   800  75
 382          326382   805  75
 383          327188   845  71
 384          328034   854  70
 385          328889   852  70
 386          329741   865  69
 387          330607   889  67
 388          331497   835  72
 389          332333   795  75
 390          333129   800  75
 391          333930   819  73
 392          334749   807  74
 393          335557   878  68
 394          336436   875  69
 395          337312   863  70
 396          338176   902  67
 397          339079   932  64
 398          340012   939  64
 399          340952   869  69
 400          341822   882  68
 401          342704   860  70
 402          343565   853  70
 403          344419   839  72
 404          345259   805  75
 405          346065   801  75
 406          346866   813  74
 407          347680   840  71
 408          348521   861  70
 409          349383   860  70
 410          350244   859  70
 411          351104   942  64
 412          352047   971  62
 413          353019   964  62
 414          353984   951  63
 415          354936   911  66
 416          355848   953  63
 417          356802   931  64
 418          357734   912  66
 419          358647   904  66
 420          359552   952  63
 421          360504  1008  60
 422          361513   981  61
 423          362495   859  70
 424          363355   884  68
 425          364240   844  71
 426          365085   868  69
 427          365954   887  68
 428          366841   817  73
 429          367659   814  74
 430          368474   870  69
 431          369345   928  65
 432          370274   937  64
 433          371212   917  65
 434          372130   865  69
 435          372996   892  67
 436          373889   890  67
 437          374779   840  71
 438          375620   860  70
 439          376481   871  69
 440          377353   843  71
 441          378197   885  68
 442          379083   889  67
 443          379973   874  69
 444          380848   929  65
 445          381778   900  67
 446          382678   904  66
 447          383583   905  66
 448          384489   942  64
 449          385432   990  61
 450          386423   988  61
 451          387412   975  62
 452          388388   923  65
 453          389312   843  71
 454          390156   838  72
 455          390995   833  72
 456          391828   858  70
 457          392687   864  69
 458          393552   904  66
 459          394457   919  65
 460          395377   919  65
 461          396297   892  67
 462          397190   869  69
 463          398060   893  67
 464          398954   934  64
 465          399889   903  66
 466          400793   896  67
 467          401689   935  64
 468          402625   933  64
 469          403559   884  68
 470          404444   907  66
